feature,odds_ratio,p_value,coefficient
rs6815735,0.20189651799478464,0.03483041292409039,-1.59999999999936
rs298173,0.20189651799478464,0.03388199131214842,-1.59999999999936
rs571726668,4.953032424391944,0.04524613673474431,1.59999999999936
rs7334739,0.20189651799478464,0.03276945512006235,-1.59999999999936
rs6765231,4.953032424391944,0.04587490220302137,1.59999999999936
rs1259552033,0.20189651799478464,0.03479061936805916,-1.59999999999936
rs35649980,0.20189651799478464,0.03506088668461138,-1.59999999999936
rs9908320,4.953032424391944,0.04385608054105594,1.59999999999936
rs558101605,1.1487714533376154,2.5412338899855058e-11,0.13869306988888572
rs11663928,1.1487714533376154,2.5412338899855058e-11,0.13869306988888572
rs2039594649,1.1487714533376154,2.5412338899855058e-11,0.13869306988888572
rs1273975616,1.1434378970938248,2.5412338899855058e-11,0.13403942351207182
rs540286157,1.1434378970938248,2.5412338899855058e-11,0.13403942351207182
rs2728688,1.1434378970938248,2.5412338899855058e-11,0.13403942351207182
rs1962782526,1.1119668530242037,2.5412338899855058e-11,0.10613038695263903
rs112217170,1.1119668530242037,2.5412338899855058e-11,0.10613038695263903
rs28736685,1.1119668530242037,2.5412338899855058e-11,0.10613038695263903
rs9369551,1.0046927599162396,2.5412338899855058e-11,0.004681783245614594
rs1663800581,1.0046927599162396,2.5412338899855058e-11,0.004681783245614594
rs4669840,1.0046927599162396,2.5412338899855058e-11,0.004681783245614594
rs6718645,0.9962545891718514,2.5412338899855058e-11,-0.0037524424422979564
rs6060567,0.9962545891718514,2.5412338899855058e-11,-0.0037524424422979564
rs337552,0.9962545891718514,2.5412338899855058e-11,-0.0037524424422979564
rs2676417,0.9962545891718514,2.5412338899855058e-11,-0.0037524424422979564
rs71278719,0.9962545891718514,2.5412338899855058e-11,-0.0037524424422979564
rs75763606,0.9999943595933903,2.5412338899855058e-11,-5.640422516846508e-06
rs2083726,0.9999943595933903,2.5412338899855058e-11,-5.640422516846508e-06
rs60358286,0.9999943595933903,2.5412338899855058e-11,-5.640422516846508e-06
rs1557395390,0.9999943595933903,2.5412338899855058e-11,-5.640422516846508e-06
rs7395513,0.9999943595933903,2.5412338899855058e-11,-5.640422516846508e-06
