feature,odds_ratio,p_value,coefficient
rs7334739,4.953032424391944,0.023981226005216127,1.59999999999936
rs9908320,4.953032424391944,0.024264612730220625,1.59999999999936
rs6815735,0.23640237734044744,0.03932735037581492,-1.4422199370690867
rs298173,0.23640237734044744,0.04515585766449459,-1.4422199370690867
rs6765231,0.23640237734044744,0.0388673411217173,-1.4422199370690867
rs1259552033,0.23640237734044744,0.042402369201840484,-1.4422199370690867
rs35649980,0.23640237734044744,0.04421509074435481,-1.4422199370690867
rs13303177,1.5081081393002997,0.0018633417691746867,0.4108559774260351
rs2039594649,1.5081081393002997,0.0018633417691746867,0.4108559774260351
rs188068852,1.341308321689548,0.0018633417691742427,0.2936454971037451
rs2728688,1.341308321689548,0.0018633417691742427,0.2936454971037451
rs1386714,1.3357469388082672,0.014587112254850654,0.28949064011309683
rs76340447,1.3357469388082672,0.012785604939700601,0.28949064011309683
rs12325260,1.1618342427293202,0.011018434154864476,0.15000000000089264
rs532468651,1.1618342427293202,0.00972942436647184,0.15000000000089264
rs337552,1.1119668530243618,0.0018633417691744647,0.10613038695278128
rs28736685,1.1119668530243618,0.0018633417691744647,0.10613038695278128
rs75763606,0.9785543534800293,0.0018633417691746867,-0.02167894593192515
rs2083726,0.9785543534800293,0.0018633417691746867,-0.02167894593192515
rs9369551,0.9785543534800293,0.0018633417691746867,-0.02167894593192515
rs1663800581,0.9785543534800293,0.0018633417691746867,-0.02167894593192515
rs1557395390,0.9785543534800293,0.0018633417691746867,-0.02167894593192515
rs7395513,0.9785543534800293,0.0018633417691746867,-0.02167894593192515
rs60358286,1.0046927599164146,0.0018633417691744647,0.004681783245788943
rs4669840,1.0046927599164146,0.0018633417691744647,0.004681783245788943
